Instituição,Tipo,CNPJ,UF,Município,Telefone,E-mail,Site,Veredito,Grupo/Dono,Porte estimado (R$),Evidência
BMG S.A. DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS,DTVM,08.030.215/0001-67,SP,São Paulo,11 28477400,COMPLIANCE.BMG@BANCOBMG.COM.BR,HTTPS://WWW.BANCOBMG.COM.BR/SOBRE-BMG/DTVM/,DESCARTAR-GRUPO,Banco BMG,,"Pagina do BMG: ex-Cifra, integrada ao grupo em 2021"
PINE INVESTIMENTOS DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA,DTVM,92.236.777/0001-78,SP,São Paulo,11 33725200,COMPLIANCE.PINE@PINE.COM,WWW.PINE.COM,DESCARTAR-GRUPO,Banco Pine,,RI do Pine: controlada/coordenadora de ofertas
RENDIMENTO DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S/A,DTVM,17.354.911/0001-10,SP,São Paulo,11 40021010,OUVIDORIA@RENDIMENTO.COM.BR,WWW.RENDIMENTOCAMBIO.COM.BR,DESCARTAR-GRUPO,Grupo Rendimento (Banco Rendimento),,"Ex-Cotacao, incorporada as marcas do grupo"
INDUSTRIAL DO BRASIL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,DTVM,00.999.403/0001-96,SP,São Paulo,11 30499700,DIRETORIA@BANCOINDUSTRIAL.COM.BR,WWW.BANCOINDUSTRIAL.COM.BR,DESCARTAR-GRUPO,Banco Industrial (familia Mansur),,ANBIMA/site: vinculada ao conglomerado
VITREO DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,DTVM,34.711.571/0001-56,SP,São Paulo,11 44801030,DTVM.COSIF@VITREO.COM.BR,HTTPS//VITREO.COM.BR,DESCARTAR-GRUPO,BTG Pactual (via Empiricus/Universa),,CADE: 100% comprada pelo BTG; integrada em dez/2023
VR DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,DTVM,64.835.226/0001-95,SP,São Paulo,11 41347500,COMPLIANCE@BANCOVR.COM.BR,,DESCARTAR-INDEFINIDA,provavel grupo VR - nao confirmado,,Sem balanco publico nem controlador confirmado; descartada por falta de evidencia
BOC BRASIL DISTRIBUIDORA DE TÍTULOS E VALORES MOBILIÁRIOS S/A,DTVM,69.720.894/0001-90,SP,São Paulo,11 21739153,CONTROLADORIA@BOCBRASIL.COM.BR,,DESCARTAR-ESTRANGEIRO,Bank of China,,Listada como subsidiaria do BoC Brasil
BANCO NACIONAL S.A.,Banco,17.157.777/0001-67,RJ,Rio De Janeiro,21 39832321,bnsa@bnsa.com.br,,DESCARTAR-INATIVA,massa do antigo Nacional (BTG),,"RAET 1995, liquidacao 1996-2024; casca comprada pelo BTG"
BANCO BRADESCARD S.A.,Banco,04.184.779/0001-01,SP,Osasco,11 48313499,5404.REGULATORIO@BRADESCO.COM.BR,HTTPS://WWW.BRADESCARD.COM.BR,DESCARTAR-GRUPO,Bradesco,,Emissor de cartoes private label da Organizacao Bradesco
KIRTON BANK S.A. - BANCO MÚLTIPLO,Banco,01.701.201/0001-89,SP,Osasco,41 37776161,OUVIDORIA.BRA@BRADESCO.COM.BR,,DESCARTAR-GRUPO,Bradesco (ex-HSBC),,HSBC Brasil comprado em 2016 e renomeado
BANCO LOSANGO S.A. - BANCO MÚLTIPLO,Banco,33.254.319/0001-00,RJ,Rio De Janeiro,11 55037500,GUILHERME.PIEDADE@BRADESCO.COM.BR,WWW2.LOSANGO.COM.BR,DESCARTAR-GRUPO,Bradesco,,Balanco 2023 como Empresa da Organizacao Bradesco; incorporada 2023
BANCO BANDEPE S.A.,Banco,10.866.788/0001-77,SP,São Paulo,11 35535533,CORGREGULADORES@SANTANDER.COM.BR,HTTPS://WWW.SANTANDER.COM.BR,DESCARTAR-GRUPO,Santander,,Subsidiaria consolidada do Santander Brasil
BANCO CAIXA GERAL - BRASIL S.A.,Banco,33.466.988/0001-38,SP,São Paulo,11 35099300,BCGBRASIL@BCGBRASIL.COM.BR,WWW.BCGBRASIL.COM.BR,DESCARTAR-ESTRANGEIRO,Caixa Geral de Depositos (estatal portuguesa),,Banco do grupo CGD desde 2008
BANCO INVESTCRED UNIBANCO S.A.,Banco,61.182.408/0001-16,SP,São Paulo,11 50199968,RELACIONAMENTO.BACEN@ITAU-UNIBANCO.COM.BR,WWW.ITAU.COM.BR,DESCARTAR-GRUPO,Itau Unibanco,,Ex-JV Unibanco/Globex; fatias absorvidas pelo Itau
BANCO BESA S.A.,Banco,15.124.464/0001-87,SP,São Paulo,11 33264824,ATENDIMENTO@BANCOBESA.COM.BR,,DESCARTAR-GRUPO,BTG Pactual,,Ex-Banco Economico; controle BTG desde out/2022
BANCO SANY BRASIL S.A.,Banco,60.935.819/0001-72,SP,São Paulo,,ANDRADEL@SANYGROUP.COM,,DESCARTAR-ESTRANGEIRO,SANY Group (China),,"Banco cativo de financiamento de maquinas, criado mai/2025"
BANCO TRATON BRASIL S.A.,Banco,52.067.630/0001-87,SP,São Paulo,11 983543751,EDUARDO.PORTAS@TRATONFS.COM,,DESCARTAR-ESTRANGEIRO,Traton SE / Volkswagen,,"Banco cativo da VW Caminhoes, operacoes desde jul/2025"
BANCOSEGURO S.A.,Banco,10.264.663/0001-77,SP,São Paulo,11 40031775,REGULATORIO@UOLINC.COM,HTTPS://PAGSEGURO.VC/OUVIDORIA,DESCARTAR-GRUPO,PagSeguro/PagBank (UOL),,"Braco bancario do PagBank desde 2019; grupo R$ 39,5 bi"
BANCO DA CHINA BRASIL S.A.,Banco,10.690.848/0001-43,SP,São Paulo,11 35083200,CONTATOBC@BOC-BRAZIL.COM,HTTPS://WWW.BANKOFCHINA.COM/BR/PT/,DESCARTAR-ESTRANGEIRO,Bank of China (estatal chinesa),,Subsidiaria integral; ~R$ 22 bi apos absorver ex-CCB
BANCO SISTEMA S.A.,Banco,76.543.115/0001-94,PR,Curitiba,41 35253812,OUVIDORIA@BANCOSISTEMA.COM.BR,WWW.BTGPACTUAL.COM,DESCARTAR-GRUPO,BTG Pactual,,Protocolo de incorporacao pelo BTG (nov/2025)
BANCO NACIONAL DE INVESTIMENTOS S.A.,Banco,33.222.241/0001-34,RJ,Rio De Janeiro,21 39832321,bnsa@bnsa.com.br,,DESCARTAR-INATIVA,em liquidacao (BTG),,Razao social EM LIQUIDACAO; transferido ao BTG ago/2024
BB-BANCO DE INVESTIMENTO S/A,Banco,24.933.830/0001-30,SP,São Paulo,11 42987042,BBBI.GOV@BB.COM.BR,WWW.BB.COM.BR,DESCARTAR-ESTATAL,Banco do Brasil,,Braco de investimento 100% do BB
TULLETT PREBON BRASIL CORRETORA DE VALORES E CÂMBIO LTDA,CTVM,61.747.085/0001-60,SP,São Paulo,11 21114800,PEDRO.FERNANDES@BR.ICAP.COM,TULLETTPREBON.COM.BR,DESCARTAR-ESTRANGEIRO,TP ICAP (Reino Unido),,Parte do grupo britanico TP ICAP
BANK OF AMERICA MERRILL LYNCH BANCO MÚLTIPLO S.A.,Banco,62.073.200/0001-21,SP,São Paulo,11 21884000,DG.BRAZIL_LOB_COR@BANKOFAMERICA.COM,HTTPS://WWW.BOFABRASIL.COM.BR/,DESCARTAR-ESTRANGEIRO,Bank of America,,Corretagem institucional do BofA desde 2009
ICAP DO BRASIL CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS LTDA.,CTVM,09.105.360/0001-22,RJ,Rio De Janeiro,21 39564200,PEDRO.FERNANDES@BR.ICAP.COM,,DESCARTAR-ESTRANGEIRO,TP ICAP (Reino Unido),,Interdealer broker do grupo TP ICAP
ÁGORA CORRETORA DE TITULOS E VALORES MOBILIARIOS S.A.,CTVM,74.014.747/0001-35,SP,São Paulo,21 25290800,CARLOSEDUARDO.VIANNA@AGORAINVESTIMENTOS.COM.BR,WWW.AGORAINVEST.COM.BR,DESCARTAR-GRUPO,Bradesco,,Corretora de varejo do conglomerado desde 2008
PAGINVEST CORRETORA DE TITULOS E VALORES MOBILIARIOS LTDA.,CTVM,46.403.683/0001-29,SP,São Paulo,11 30389285,REGULATORIO@UOLINC.COM,HTTPS://PAGSEGURO.VC/OUVIDORIA,DESCARTAR-GRUPO,PagSeguro/PagBank,,CTVM do PagBank (CNPJ 2022)
IDEAL CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,CTVM,31.749.596/0001-50,SP,São Paulo,11 30143545,CONTATO@IDEALCTVM.COM.BR,WWW.IDEALCTVM.COM.BR,DESCARTAR-GRUPO,"Itau Unibanco (50,1%, opcao ate 100%)",,"CADE/BC aprovaram controle do Itau (R$ 650 mi, 2022)"
NEON CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS S.A.,CTVM,61.723.847/0001-99,SP,São Paulo,800 8820652,MARIANA.UVO@NEON.COM.BR,HTTPS://NEON.COM.BR/,DESCARTAR-GRUPO,Neon Pagamentos (ex-Magliano),,Comprada pela Neon em 2020
NU INVESTIMENTOS S.A. - CORRETORA DE TÍTULOS E VALORES MOBILIÁRIOS,CTVM,62.169.875/0001-79,SP,São Paulo,11 38414510,CHAPTER-LEGAL@NUBANK.COM.BR,HTTPS://WWW.NUINVEST.COM.BR/,DESCARTAR-GRUPO,Nubank (ex-Easynvest),,Plataforma de investimentos do Nubank
CGD INVESTIMENTOS CORRETORA DE VALORES E CÂMBIO S.A.,CTVM,07.554.076/0001-08,SP,São Paulo,11 30739300,OUVIDORIA@CGDSECURITIES.COM.BR,,DESCARTAR-ESTRANGEIRO,Caixa Geral de Depositos (estatal PT),,"Operacao residual do BCG Brasil, a venda"
