Instituição,Segmento BCB,Perfil,Elegibilidade,Grupo tem DTVM/adm.fid.?,CNPJ,UF,Município,Ativo Total (R$),Passivo Exigível (R$),Patrimônio Líquido (R$),Captações (R$),Carteira de Crédito (R$),TVM (R$),Maior escala (R$),Lucro Líquido (R$),Início atividade,Gestor CVM?,Nº fundos que gere,Adm.fiduciário?,Custodiante?,Nº classes que custodia,PL custodiado (R$),Telefone,E-mail,Site
"CALCRED S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO","Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,37.122.487/0001-95,SC,São José,219386629.32,184859617.22,34527012.1,172744812.81,102360426.11,26877111.94,219386629.32,-1721890.06999999,,,,,,,,48 32055230,GIGIANE.LOPES@CALCRED.COM.BR,
"COBUCCIO S/A - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTOS","Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,36.947.229/0001-85,MG,Monte Belo,225331697.47,217019111.05,8312586.42,187411201.88,338294.22,197376725.13,225331697.47,184655.940000001,2020,,,,,,,35 35732600,MARCOAURELIO@BRASILCARD.NET,HTTPS://AGIL.COM.BR/
"RP FINANCEIRA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO","Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,44.431.743/0001-91,SP,São Paulo,308049603.46,204770761.42,103278842.04,197002396.35,212505023.1,52702743.83,308049603.46,-3746089.89,,,,,,,,800 2020019,CONTATO@RECARGAPAY.COM,
"NEGRESCO S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS","Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,04.379.829/0001-06,PR,Curitiba,308219214.35,231973934.95,76245279.4,211838162.87,256678795.17,,308219214.35,9505426.91,2001,,,,,,,41 33106010,BC@CREDIPAR.COM.BR,WWW.CREDIPAR.COM.BR
"TENTOS S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO","Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,41.498.340/0001-71,RS,Ijuí,309778715.51,258002159.66,51776555.85,249424711.92,257139591.63,17387146.32,309778715.51,544333.279999999,2021,,,,,,,55 33723700,LPDUMONCEL@TENTOSCAP.COM.BR,WWW.TENTOSCAP.COM.BR
"GAZINCRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO","Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,11.760.553/0001-69,PR,Douradina,320950765.9,157624003.27,163326762.63,121865022.75,263064609.86,18082374.18,320950765.9,8839407.54,2010,,,,,,,44 36638000,PETER.PREGIDIO@GAZIN.COM.BR,WWW.GAZINBANK.COM.BR
"FINAMAX S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO","Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,00.411.939/0001-49,SP,Jundiaí,327339543.13,295711512.32,31628030.81,289508024.24,168583949.45,131385116.2,327339543.13,-191341.670000003,1995,,,,,,,11 45835703,FINAMAX@FINAMAX.COM.BR,HTTPS://WWW.FINAMAX.COM.BR
"HS FINANCEIRA S/A CREDITO, FINANCIAMENTO E INVESTIMENTOS","Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,07.512.441/0001-11,RS,Dois Irmãos,330656586.74,266485900.72,64170686.02,214932050.74,269269952.33,,330656586.74,-4189904.93,2005,,,,,,,51 35648300,MALTA@HSFINANCEIRA.COM.BR,WWW.HSFINANCEIRA.COM.BR
"SANTINVEST S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTOS","Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,00.122.327/0001-36,SC,Florianópolis,332722660.27,176889946.59,155832713.68,171565422.24,267534945.93,13933.24,332722660.27,1149633.08,1994,,,,,,,48 39523952,CONTABILIDADE@SANTINVEST.COM.BR,WWW.SANTINVEST.COM.BR
"AGORACRED S/A SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO","Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,36.321.990/0001-07,ES,Vitória,354227007.98,257584444.14,96642563.84,240785157.37,279932800.99,56013561.52,354227007.98,4346831.99000001,1992,,,,,,,27 40090200,BACEN@AGORACRED.COM.BR,WWW.AGORACRED.COM.BR
"SOCINAL S.A. - CRÉDITO, FINANCIAMENTO E INVESTIMENTO","Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,03.881.423/0001-56,RJ,Araruama,387618051.79,338696037.58,48922014.21,332140967.12,326313148.73,,387618051.79,-889126.590000002,2000,,,,,,,22 26652417,VANESSA.ANTUNES@SOCINAL.COM.BR,HTTPS://SOCINAL.COM.BR
"J17 - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S/A","Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,63.019.146/0001-07,PR,Londrina,,,,,,,,,,,,,,,,43 999724282,J17FINANCEIRA@J17FINANCEIRA.COM.BR,
"AGI FINANCEIRA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO","Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,13.660.104/0001-74,SP,Campinas,,,,,,,,,,,,,,,,51 30761400,COMPLIANCE@AGIPLAN.COM.BR,WWW.AGIBANK.COM.BR
"DM SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A","Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,91.669.747/0001-92,SP,São José Dos Campos,,,,,,,,,1965,,,,,,,800 7025004,DMFINANCEIRA@VOCEDM.COM.BR,HTTPS://VOCEDMFINANCEIRA.COM.BR/
"MULTIPLIKE FINANCEIRA S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO","Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,62.448.932/0001-59,SC,Joinville,,,,,,,,,,,,,,,,47 35122500,MULTIPLIKE@MULTIPLIKE.COM.BR,WWW.MULTIPLIKE.COM.BR
FACTA FINANCEIRA S.A. - CRÉDITO FINANCIAMENTO E INVESTIMENTO,"Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,15.581.638/0001-30,RS,Porto Alegre,,,,,,,,,2024,,,,,,,51 30217838,EVERTON@FACTAFINANCEIRA.COM.BR,WWW.FACTAFINANCEIRA.COM.BR
"PORTOSEG S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO","Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,04.862.600/0001-10,SP,São Paulo,,,,,,,,,2001,,,,,,,11 23935199,CONTROLES.INTERNOS@PORTOSEGURO.COM.BR,HTTPS://PORTO.VC/CHAT-PORTO-BANK
"FINANCEIRA ALFA S.A. - SOCIEDADE DE CRÉDITO, FINA NCIAMENTO E INVESTIMENTO","Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,17.167.412/0001-13,SP,São Paulo,,,,,,,,,,,,,,,,11 31759507,ATENDIMENTO.REGULAMENTAR@SAFRA.COM.BR,HTTPS://WWW.SAFRA.COM.BR/CHAT-OUVIDORIA.HTM
"URBANO S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO","Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,53.842.122/0001-91,SP,Barueri,,,,,,,,,,,,,,,,11 981019840,CARBONARI@URBANOBANK.COM,WWW.URBANOBANK.COM
"MAGALUPAY - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.","Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,61.021.673/0001-12,SP,São Paulo,,,,,,,,,,,,,,,,800 7500729,REGULATORIO.PLD@MAGALUPAY.COM.BR,HTTPS://WWW.MAGALUPAY.COM.BR/
"NEON FINANCEIRA - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A","Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,11.285.104/0001-06,SP,São Paulo,,,,,,,,,,,,,,,,800 8820652,MARIANA.UVO@NEON.COM.BR,HTTPS://NEON.COM.BR/
"NU FINANCEIRA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO","Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,30.680.829/0001-43,SP,São Paulo,,,,,,,,,,,,,,,,11 20390656,RELACIONAMENTO.OUV@NUBANK.COM.BR,WWW.NUBANK.COM.BR
"PAN FINANCEIRA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTOS","Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,02.682.287/0001-02,SP,São Paulo,,,,,,,,,,,,,,,,11 32647393,COMPLIANCE@GRUPOPAN.COM,WWW.BANCOPAN.COM.BR
OMNI S.A. - CREDITO FINANCIAMENTO E INVESTIMENTO,"Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,92.228.410/0001-02,SP,São Paulo,,,,,,,,,2000,,,,,,,11 33653557,CONTROLES.INTERNOS@OMNI.COM.BR,HTTPS://REBRAND.LY/WHATSAPPOUVIDORIAOMNI
"BMW FINANCEIRA S.A. - CREDITO, FINANCIAMENTO E INVESTIMENTO","Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,04.452.473/0001-80,SP,São Paulo,,,,,,,,,2001,,,,,,,11 51860587,MARIO.JANSSEN@BMW.COM.BR,WWW.BMWFS.COM.BR
"HARMOS S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO","Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,56.392.166/0001-55,SP,São Paulo,,,,,,,,,,,,,,,,11 993153323,SCFI@HARMOS.COM,WWW.HARMOS.COM
"SOFISA S.A. CRÉDITO, FINANCIAMENTO E INVESTIMENTO","Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,08.257.293/0001-07,SP,São Paulo,,,,,,,,,,,,,,,,11 31765614,OUVIDORIA@SOFISA.COM.BR,
"MAREE SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO S.A.","Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,63.055.668/0001-56,SP,São Paulo,,,,,,,,,,,,,,,,800 8871551,LUCAS.SENRA@MONEE.COM,SHOPEEPAY.COM.BR
"LUIZACRED S.A. SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO","Sociedade de Crédito, Financiamento e Investimento",Financeira,"Elegível adm. fiduciário (SCFI, Res. 5.237)",,02.206.577/0001-80,SP,São Paulo,,,,,,,,,,,,,,,,11 50199968,RELACIONAMENTO.BACEN@ITAU-UNIBANCO.COM.BR,WWW.ITAU.COM.BR
DELTA GLOBAL SOCIEDADE DE CRÉDITO DIRETO S.A.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,55.823.094/0001-90,SP,São Paulo,236461.3,882528.95,-646067.65,,,,882528.95,-749464.45,2024,,,,,,,11 995941579,PEDRO.RICCO@DELTAGLOBALBANK.COM.BR,WWW.DELTAGLOBALBANK.COM.BR
SOL CORRETORA DE CÂMBIO S.A.,Sociedade Corretora de Câmbio,Câmbio,Só via DTVM nova (objeto restrito),,08.520.517/0001-13,RN,Natal,403581.62,117594.03,285987.59,,,,403581.62,-29698.14,2007,,,,,,,84 32323535,LEANDRO@SOLCORRETORA.COM.BR,
AVIPAM CORRETORA DE CAMBIO LTDA,Sociedade Corretora de Câmbio,Câmbio,Só via DTVM nova (objeto restrito),,03.443.143/0001-66,RJ,Rio De Janeiro,460202.37,10206.04,449996.33,,,238705.36,460202.37,4941.0,1999,,,,,,,21 35439000,CAMBIO@AVIPAMCAMBIO.COM.BR,WWW.AVIPAMCAMBIO.COM.BR
ÍCARO CORRETORA DE CÂMBIO LTDA,Sociedade Corretora de Câmbio,Câmbio,Só via DTVM nova (objeto restrito),,72.556.996/0001-27,PR,Curitiba,628587.5,88419.89,540167.61,,,,628587.5,32724.28,1993,,,,,,,41 997290700,ICAROCORRETORA@ICAROCORRETORA.COM.BR,WWW.ICAROCORRETORA.COM.BR
QUANTO NETWORK INSTITUICAO DE PAGAMENTO LTDA.,Instituição de Pagamento,Fintech (pagamentos),Só via DTVM nova (objeto restrito),,42.064.545/0001-01,SP,São Paulo,651422.22,8505.22,642917.0,,,238885.55,651422.22,-9562.31,2021,,,,,,,11 982791817,JURIDICO@CONTAQUANTO.COM.BR,HTTP://WWW.QUAN.TO
JM CORRETORA DE CÂMBIO LTDA.,Sociedade Corretora de Câmbio,Câmbio,Só via DTVM nova (objeto restrito),,45.056.494/0001-64,SP,São Paulo,861239.43,357672.13,503567.3,,,,861239.43,-241966.36,2022,,,,,,,11 31478080,JOAOMENDES@JMCORRETORADECAMBIO.COM.BR,
ATUAL SOCIEDADE CORRETORA DE CÂMBIO LTDA,Sociedade Corretora de Câmbio,Câmbio,Só via DTVM nova (objeto restrito),,44.323.831/0001-70,SP,São José Dos Campos,871309.35,66600.11,804709.24,,,795360.61,871309.35,45827.68,2024,,,,,,,12 35002009,GALDINO.ALVIM@ATUALCAMBIO.COM.BR,WWW.ATUALCAMBIO.COM.BR
FINAZO SOCIEDADE DE CRÉDITO DIRETO S.A.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,48.703.302/0001-52,SC,Florianópolis,872769.52,22381.01,850388.51,,,838670.87,872769.52,-60795.2,2023,,,,,,,41 988132603,JORNY@FINAZO.COM.BR,WWW.FINAZO.COM.BR
CORREPARTI SOCIEDADE CORRETORA DE CÂMBIO LTDA.,Sociedade Corretora de Câmbio,Câmbio,Só via DTVM nova (objeto restrito),,80.202.872/0001-71,PR,São José Dos Pinhais,904573.32,126198.93,778374.39,,,3229.9,904573.32,-40228.2300000001,1987,,,,,,,41 30133000,CORREPARTI@CORREPARTI.COM.BR,CORREPARTI.COM.BR
CRYSTAL BMC - INSTITUICAO DE PAGAMENTO LTDA.,Instituição de Pagamento,Fintech (pagamentos),Só via DTVM nova (objeto restrito),,43.561.343/0001-38,SP,Barueri,1006717.04,31557.47,975159.57,,,125995.51,1006717.04,-226918.67,2022,,,,,,,11 33652664,JURIDICO@BECRYSTAL.FINANCE,
ONNIX CORRETORA DE CÂMBIO LTDA.,Sociedade Corretora de Câmbio,Câmbio,Só via DTVM nova (objeto restrito),,07.333.726/0001-95,RS,Porto Alegre,1027547.58,183500.88,844046.7,,,,1027547.58,42599.1999999999,2005,,,,,,,51 21367575,MARCO@ONNIX.COM.BR,WWW.ONNIX.COM.BR
KLAVI INSTITUIÇÃO DE PAGAMENTO E GESTÃO DE DADOS LTDA.,Instituição de Pagamento,Fintech (pagamentos),Só via DTVM nova (objeto restrito),,44.459.799/0001-54,SP,São Paulo,1078522.41,765.43,1077756.98,,,,1078522.41,-8710.04,2023,,,,,,,800 330396,BRUNO@KLAVI.AI,
PRONANCE SOCIEDADE CORRETORA DE CÂMBIO LTDA,Sociedade Corretora de Câmbio,Câmbio,Só via DTVM nova (objeto restrito),,41.560.568/0001-44,PR,Curitiba,1103755.97,9553.63,1094202.34,,,802174.34,1103755.97,-17926.3,2023,,,,,,,41 32238822,CONTATO@PRONANCE.COM.BR,WWW.PRONANCE.COM.BR
KIKAI SOCIEDADE DE CRÉDITO DIRETO S.A.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,43.978.697/0001-82,SP,Barueri,1112881.55,453.93,1112427.62,,32563.94,134217.86,1112881.55,-45.5899999999892,2022,,,,,,,11 35044167,CAMILA.BOTELHO@KIKAIPAY.COM.BR,HTTP://WWW.KIKAIPAY.COM.BR/
NGO ASSOCIADOS CORRETORA DE CÂMBIO LTDA.,Sociedade Corretora de Câmbio,Câmbio,Só via DTVM nova (objeto restrito),,65.635.377/0001-62,SP,São Paulo,1178976.39,496838.34,682138.05,,,,1178976.39,-5710.38999999998,1991,,,,,,,11 32913266,NGO@NGO.COM.BR,WWW.NGO.COM.BR
QUEROCRED SOCIEDADE DE CRÉDITO DIRETO S.A.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,49.035.310/0001-30,RS,Canoas,1219156.99,76568.25,1142588.74,,309824.14,231471.7,1219156.99,-94053.1,2023,,,,,,,51 23133001,COMPLIANCE@QUEROCRED.COM.BR,WWW.QUEROCRED.COM.BR
NIXFIN SOCIEDADE DE CRÉDITO DIRETO S.A.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,44.921.281/0001-90,SC,Florianópolis,1359954.35,3750.98,1356203.37,,51897.91,1298189.52,1359954.35,-55192.22,2022,,,,,,,48 21065698,RODRIGO.PIRES@NEXXERA.COM,WWW.GRUPONEXXEES.COM
CREDFC SOCIEDADE DE CRÉDITO DIRETO S.A.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,42.627.615/0001-92,SP,São Paulo,1366760.42,78419.27,1288341.15,,,1325206.62,1366760.42,133916.78,2021,,,,,,,800 505005,VGC@PROVUSCD.COM.BR,
OMIE INSTITUICAO DE PAGAMENTO LTDA.,Instituição de Pagamento,Fintech (pagamentos),Só via DTVM nova (objeto restrito),,43.010.260/0001-50,SP,São Paulo,1415487.19,6927.94,1408559.25,,,1320159.01,1415487.19,-50431.83,2023,,,,,,,11 982393679,JURIDICO@OMIE.COM.BR,
EASY MONEY SOCIEDADE DE CRÉDITO DIRETO S.A.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,56.606.230/0001-53,RS,São Leopoldo,1467257.28,227410.2,1239847.08,220000.0,223801.48,,1467257.28,-83733.32,2024,,,,,,,51 35720363,LEANDRO@VILARICA.COM.BR,HTTPS://WWW.EASYMONEY.NET.BR/
SINGRATUR CORRETORA DE CÂMBIO LTDA,Sociedade Corretora de Câmbio,Câmbio,Só via DTVM nova (objeto restrito),,16.854.999/0001-76,PR,Maringá,1524541.21,116054.26,1408486.95,,,,1524541.21,-36940.9199999999,2012,,,,,,,44 32251115,SINGRATUR@SINGRATUR.COM.BR,WWW.SINGRATUR. COM.BR
LÚMINA CORRETORA DE CÂMBIO LTDA.,Sociedade Corretora de Câmbio,Câmbio,Só via DTVM nova (objeto restrito),,15.122.605/0001-22,BA,Salvador,1525692.82,278911.8,1246781.02,,,,1525692.82,-93989.6200000001,2012,,,,,,,71 30341579,LUMINA@LUMINACORRETORA.COM.BR,
FIDEM SOCIEDADE DE CRÉDITO DIRETO S/A,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,45.716.916/0001-80,RS,Santa Maria,1575603.89,212693.79,1362910.1,,1397672.75,11885.24,1575603.89,-593229.0,2023,,,,,,,55 32171227,DAVI.CIPRIANO@FIDEMBANK.COM,WWW.FIDEMCRED.COM.BR
LAMARA SOCIEDADE DE CRÉDITO DIRETO S.A.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,19.324.634/0001-28,CE,Fortaleza,1589879.54,54626.44,1535253.1,,521281.78,58562.52,1589879.54,-78862.74,2014,,,,,,,85 988023749,OLIVEIRA@INOVARCONT.COM.BR,
VIPS CORRETORA DE CÂMBIO S.A.,Sociedade Corretora de Câmbio,Câmbio,Só via DTVM nova (objeto restrito),,17.772.370/0001-40,SP,São Paulo,1599233.21,74708.18,1524525.03,,,61687.62,1599233.21,72018.0499999998,2013,,,,,,,11 51812192,LEO@VIPSCAMBIO.COM.BR,WWW.VIPSCORRETORADECAMBIO.COM.BR
FISERV SOCIEDADE DE CRÉDITO DIRETO S.A.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,50.053.267/0001-15,SP,São Paulo,1614864.58,152114.95,1462749.63,,687967.01,727286.56,1614864.58,-21528.45,,,,,,,,11 363116390,RUBENS.JUNIORDASILVA@FISERV.COM,
BEZZ SOCIEDADE DE CRÉDITO DIRETO S.A.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,46.130.566/0001-39,RJ,Rio De Janeiro,1696117.6,662872.77,1033244.83,,178920.13,855728.41,1696117.6,-153458.45,2023,,,,,,,800 210306,LUANA.ALVES@BEZZ.COM.BR,HTTPS://BEZZ.COM.BR/
MAREE SOCIEDADE DE CRÉDITO DIRETO S.A.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,48.751.854/0001-36,SP,São Paulo,1711165.37,135351.8,1575813.57,,4500.01,1159617.44,1711165.37,-2366.29,,,,,,,,11 969743100,COMPLIANCE.BR@SHOPEE.COM,
NG CASH SOCIEDADE DE CRÉDITO DIRETO S.A.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,45.597.546/0001-00,RJ,Rio De Janeiro,1713217.55,211323.12,1501894.43,,,,1713217.55,-64595.01,2022,,,,,,,21 20429975,JURIDICO@NG.CASH,
CONSEGTUR CORRETORA DE CÂMBIO LTDA.,Sociedade Corretora de Câmbio,Câmbio,Só via DTVM nova (objeto restrito),,15.168.152/0001-75,SP,São Paulo,1856595.74,1294606.17,561989.57,,,513406.7,1856595.74,282.84999999995,2012,,,,,,,11 21495858,GERENCIA@CONSEGTURCORRETORA.COM.BR,WWW.CONSEGTURCORRETORA.COM.BR
FARMTECH SOCIEDADE DE CRÉDITO DIRETO S.A.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,35.911.258/0001-24,SP,São Paulo,1930860.04,21870.81,1908989.23,,,1781630.56,1930860.04,-8293.23,2020,,,,,,,11 35067800,INSTITUCIONALSCD@FARMTECH.COM.BR,HTTPS://FARMTECH.COM.BR/FARMTECH-SCD
BRCARD SOCIEDADE DE CRÉDITO DIRETO S/A,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,39.431.423/0001-00,GO,Caldas Novas,1984214.31,154598.17,1829616.14,,1888806.52,4644.83,1984214.31,115568.97,2021,,,,,,,34 996614042,LUIZ.BISPO@FBISPO.COM.BR,
CORPORE SOCIEDADE DE CRÉDITO DIRETO S.A.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,07.327.045/0001-14,MS,Dourados,2002703.41,66107.83,1936595.58,,1416066.47,,2002703.41,4738.10000000001,2005,,,,,,,67 30338802,SILVANA@CORPOREINVEST.COM.BR,WWW.CORPOREINVEST.COM.BR
CUMBUCA INSTITUIÇÃO DE PAGAMENTO LTDA.,Instituição de Pagamento,Fintech (pagamentos),Só via DTVM nova (objeto restrito),,44.353.942/0001-29,SP,São Paulo,2138944.51,76178.73,2062765.78,,,1937668.37,2138944.51,-69369.78,2023,,,,,,,11 992607123,DANIEL@CUMBUCA.COM,
LEND INSTITUICAO DE PAGAMENTO LTDA,Instituição de Pagamento,Fintech (pagamentos),Só via DTVM nova (objeto restrito),,44.154.779/0001-75,SP,São Paulo,2175077.54,2238940.31,-63862.77,,,1149999.0,2238940.31,-443324.99,,,,,,,,11 981739584,MARCELLO@LEND.TECH,HTTP://LEND.TECH/PT
AVS CORRETORA DE CÂMBIO LTDA.,Sociedade Corretora de Câmbio,Câmbio,Só via DTVM nova (objeto restrito),,25.280.945/0001-35,PR,Curitiba,2287908.82,547380.12,1740528.7,,,393043.38,2287908.82,146948.42,2016,,,,,,,41 32232828,SAMIA@AVSCAMBIO.COM.BR,WWW.AVSCAMBIO.COM.BR
FINLEV SOCIEDADE DE CRÉDITO DIRETO S.A.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,44.564.204/0001-20,PA,Belém,2352931.31,819111.52,1533819.79,,2038499.42,13667.29,2352931.31,123250.66,2022,,,,,,,91 40097615,WIGOR.OLIVEIRA@ASPEB.COM.BR,
SADOC SOCIEDADE CORRETORA DE CÂMBIO LTDA.,Sociedade Corretora de Câmbio,Câmbio,Só via DTVM nova (objeto restrito),,28.762.249/0001-53,CE,Fortaleza,2521825.45,194077.83,2327747.62,,,,2521825.45,-162899.76,2018,,,,,,,85 32197993,SADOC@SADOC.COM.BR,
NUMATUR CORRETORA DE CÂMBIO LTDA.,Sociedade Corretora de Câmbio,Câmbio,Só via DTVM nova (objeto restrito),,18.145.784/0001-01,SP,São Paulo,2527771.42,52337.24,2475434.18,,,1193936.07,2527771.42,37354.5,2013,,,,,,,11 22186600,FREITAS@NUMATUR.COM.BR,
GIRO - SOCIEDADE DE CRÉDITO DIRETO S/A,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,40.112.555/0001-40,PR,Curitiba,2594968.46,1014117.59,1580850.87,,,983437.56,2594968.46,43129.2600000001,2020,,,,,,,41 33220047,CONTATO@GIROTECH.COM.BR,HTTPS://GIROSCD.COM.BR/
GOOD SOCIEDADE CORRETORA DE CÂMBIO LTDA.,Sociedade Corretora de Câmbio,Câmbio,Só via DTVM nova (objeto restrito),,23.010.182/0001-87,RS,Porto Alegre,2711492.04,462310.07,2249181.97,,,,2711492.04,29948.4900000002,2015,,,,,,,51 32313399,GERENCIA@GOODCAMBIO.COM.BR,
SQUID SOCIEDADE DE CRÉDITO DIRETO S.A.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,56.198.117/0001-86,RS,Caxias Do Sul,3005416.72,2766.39,3002650.33,,,2502279.13,3005416.72,-2588.35999999999,2024,,,,,,,54 991549661,ELEANDRO@GRUPOSQUID.COM.BR,
FRIDAY INSTITUIÇÃO DE PAGAMENTOS LTDA.,Instituição de Pagamento,Fintech (pagamentos),Só via DTVM nova (objeto restrito),,42.926.025/0001-60,RJ,Rio De Janeiro,3106295.81,30870.18,3075425.63,,,3106063.1,3106295.81,49423.46,2022,,,,,,,21 983220100,DARIO.TANURE@FRIDAY.AI,HTTPS://WWW.FRIDAY-IP.COM.BR/
BFC SOCIEDADE DE CRÉDITO DIRETO S.A.,Sociedade de Crédito Direto,Fintech (SCD),Só via DTVM nova (objeto restrito),,59.396.084/0001-77,PE,Recife,3111622.77,11011.17,3100611.6,,,3106591.9,3111622.77,30065.52,2025,,,,,,,81 21199595,ECANAZART@BFCDIGITAL.COM.BR,
